ExperimentTitle,SampleName,SampleDescription,SequencingDate,FileName,FileLocation
Overwintering the boreal winter: From seasonal gene expression and photosynthetic responses to acclimation of conifers,2011-05-16-001,Needles selected on 2011-05-16 biological replicate 1 techical replicate 1,2012-05-22T10:00:00,5_120522_BD0YETACXX_1_index1_1.fastq.gz,/mnt/picea/projects/spruce/sjansson/seasonal-needles/u2015030/raw_data
Overwintering the boreal winter: From seasonal gene expression and photosynthetic responses to acclimation of conifers,2011-05-16-001,Needles selected on 2011-05-16 biological replicate 1 techical replicate 1,2012-05-22T10:00:00,5_120522_BD0YETACXX_1_index1_2.fastq.gz,/mnt/picea/projects/spruce/sjansson/seasonal-needles/u2015030/raw_data
Overwintering the boreal winter: From seasonal gene expression and photosynthetic responses to acclimation of conifers,2011-05-16-002,Needles selected on 2011-05-16 biological replicate 2 techical replicate 1,2012-05-22T10:00:00,5_120522_BD0YETACXX_2_index2_1.fastq.gz,/mnt/picea/projects/spruce/sjansson/seasonal-needles/u2015030/raw_data
Overwintering the boreal winter: From seasonal gene expression and photosynthetic responses to acclimation of conifers,2011-05-16-002,Needles selected on 2011-05-16 biological replicate 2 techical replicate 1,2012-05-22T10:00:00,5_120522_BD0YETACXX_2_index2_2.fastq.gz,/mnt/picea/projects/spruce/sjansson/seasonal-needles/u2015030/raw_data
Overwintering the boreal winter: From seasonal gene expression and photosynthetic responses to acclimation of conifers,2011-05-16-003,Needles selected on 2011-05-16 biological replicate 3 techical replicate 1,2012-05-22T10:00:00,5_120522_BD0YETACXX_3_index3_1.fastq.gz,/mnt/picea/projects/spruce/sjansson/seasonal-needles/u2015030/raw_data
Overwintering the boreal winter: From seasonal gene expression and photosynthetic responses to acclimation of conifers,2011-05-16-003,Needles selected on 2011-05-16 biological replicate 3 techical replicate 1,2012-05-22T10:00:00,5_120522_BD0YETACXX_3_index3_2.fastq.gz,/mnt/picea/projects/spruce/sjansson/seasonal-needles/u2015030/raw_data
Overwintering the boreal winter: From seasonal gene expression and photosynthetic responses to acclimation of conifers,2011-05-19-004,Needles selected on 2011-05-19 biological replicate 1 techical replicate 1,2012-05-22T10:00:00,5_120522_BD0YETACXX_4_index4_1.fastq.gz,/mnt/picea/projects/spruce/sjansson/seasonal-needles/u2015030/raw_data
Overwintering the boreal winter: From seasonal gene expression and photosynthetic responses to acclimation of conifers,2011-05-19-004,Needles selected on 2011-05-19 biological replicate 1 techical replicate 1,2012-05-22T10:00:00,5_120522_BD0YETACXX_4_index4_2.fastq.gz,/mnt/picea/projects/spruce/sjansson/seasonal-needles/u2015030/raw_data
Overwintering the boreal winter: From seasonal gene expression and photosynthetic responses to acclimation of conifers,2011-05-19-005,Needles selected on 2011-05-19 biological replicate 2 techical replicate 1,2012-05-22T10:00:00,5_120522_BD0YETACXX_5_index5_1.fastq.gz,/mnt/picea/projects/spruce/sjansson/seasonal-needles/u2015030/raw_data
Overwintering the boreal winter: From seasonal gene expression and photosynthetic responses to acclimation of conifers,2011-05-19-005,Needles selected on 2011-05-19 biological replicate 2 techical replicate 1,2012-05-22T10:00:00,5_120522_BD0YETACXX_5_index5_2.fastq.gz,/mnt/picea/projects/spruce/sjansson/seasonal-needles/u2015030/raw_data
Overwintering the boreal winter: From seasonal gene expression and photosynthetic responses to acclimation of conifers,2011-05-19-006,Needles selected on 2011-05-19 biological replicate 3 techical replicate 1,2012-05-22T10:00:00,5_120522_BD0YETACXX_6_index6_1.fastq.gz,/mnt/picea/projects/spruce/sjansson/seasonal-needles/u2015030/raw_data
Overwintering the boreal winter: From seasonal gene expression and photosynthetic responses to acclimation of conifers,2011-05-19-006,Needles selected on 2011-05-19 biological replicate 3 techical replicate 1,2012-05-22T10:00:00,5_120522_BD0YETACXX_6_index6_2.fastq.gz,/mnt/picea/projects/spruce/sjansson/seasonal-needles/u2015030/raw_data
Overwintering the boreal winter: From seasonal gene expression and photosynthetic responses to acclimation of conifers,2011-05-19-007,Needles selected on 2011-05-19 biological replicate 4 techical replicate 1,2012-05-22T10:00:00,5_120522_BD0YETACXX_7_index7_1.fastq.gz,/mnt/picea/projects/spruce/sjansson/seasonal-needles/u2015030/raw_data
Overwintering the boreal winter: From seasonal gene expression and photosynthetic responses to acclimation of conifers,2011-05-19-007,Needles selected on 2011-05-19 biological replicate 4 techical replicate 1,2012-05-22T10:00:00,5_120522_BD0YETACXX_7_index7_2.fastq.gz,/mnt/picea/projects/spruce/sjansson/seasonal-needles/u2015030/raw_data
Overwintering the boreal winter: From seasonal gene expression and photosynthetic responses to acclimation of conifers,2011-05-24-008,Needles selected on 2011-05-24 biological replicate 1 techical replicate 1,2012-05-22T10:00:00,5_120522_BD0YETACXX_8_index8_1.fastq.gz,/mnt/picea/projects/spruce/sjansson/seasonal-needles/u2015030/raw_data
Overwintering the boreal winter: From seasonal gene expression and photosynthetic responses to acclimation of conifers,2011-05-24-008,Needles selected on 2011-05-24 biological replicate 1 techical replicate 1,2012-05-22T10:00:00,5_120522_BD0YETACXX_8_index8_2.fastq.gz,/mnt/picea/projects/spruce/sjansson/seasonal-needles/u2015030/raw_data
